BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;06.01.2014;Индекс МосБиржи;Индекс МосБиржи;1466,15;1504,14;1504,33;1464,97;16900288729;;;2;6,62517E+12;RUB;4518760150;3;
SNDX;IMOEX;08.01.2014;Индекс МосБиржи;Индекс МосБиржи;1462,67;1465,99;1470,25;1460,41;16027383642;;;2;6,60945E+12;RUB;4518760150;3;
SNDX;IMOEX;09.01.2014;Индекс МосБиржи;Индекс МосБиржи;1465,14;1462,67;1470,65;1460,81;20056121954;;;2;6,62061E+12;RUB;4518760150;3;
SNDX;IMOEX;10.01.2014;Индекс МосБиржи;Индекс МосБиржи;1469,19;1465,74;1470,73;1454,75;29274890126;;;2;6,63894E+12;RUB;4518760150;3;
SNDX;IMOEX;13.01.2014;Индекс МосБиржи;Индекс МосБиржи;1477,56;1469,19;1482,45;1466,51;29596729994;;;2;6,67675E+12;RUB;4518760150;3;
SNDX;IMOEX;14.01.2014;Индекс МосБиржи;Индекс МосБиржи;1469,64;1477,59;1477,59;1453,85;31230659415;;;2;6,64093E+12;RUB;4518760150;3;
SNDX;IMOEX;15.01.2014;Индекс МосБиржи;Индекс МосБиржи;1486,51;1469,76;1487,83;1469,76;34589305532;;;2;6,71717E+12;RUB;4518760150;3;
SNDX;IMOEX;16.01.2014;Индекс МосБиржи;Индекс МосБиржи;1480,73;1486,37;1492,58;1478,45;30825694232;;;2;6,69106E+12;RUB;4518760150;3;
SNDX;IMOEX;17.01.2014;Индекс МосБиржи;Индекс МосБиржи;1486,88;1480,63;1495,05;1475,23;31481520592;;;2;6,71888E+12;RUB;4518760150;3;
SNDX;IMOEX;20.01.2014;Индекс МосБиржи;Индекс МосБиржи;1495,36;1485,75;1498,37;1483,25;23823923486;;;2;6,75719E+12;RUB;4518760150;3;
SNDX;IMOEX;21.01.2014;Индекс МосБиржи;Индекс МосБиржи;1504,68;1495,92;1507,16;1495,92;32920294237;;;2;6,79928E+12;RUB;4518760150;3;
SNDX;IMOEX;22.01.2014;Индекс МосБиржи;Индекс МосБиржи;1498,73;1503,6;1505,31;1490,29;42599578316;;;2;6,7724E+12;RUB;4518760150;3;
SNDX;IMOEX;23.01.2014;Индекс МосБиржи;Индекс МосБиржи;1496,9;1498,73;1511,7;1495,9;36924425267;;;2;6,76412E+12;RUB;4518760150;3;
SNDX;IMOEX;24.01.2014;Индекс МосБиржи;Индекс МосБиржи;1494,58;1496,9;1497,76;1483,66;50458895946;;;2;6,75366E+12;RUB;4518760150;3;
SNDX;IMOEX;27.01.2014;Индекс МосБиржи;Индекс МосБиржи;1478,23;1494,18;1495,27;1476,06;46236717540;;;2;6,67978E+12;RUB;4518760150;3;
SNDX;IMOEX;28.01.2014;Индекс МосБиржи;Индекс МосБиржи;1469,57;1477,91;1486,09;1467,97;39833254664;;;2;6,64064E+12;RUB;4518760150;3;
SNDX;IMOEX;29.01.2014;Индекс МосБиржи;Индекс МосБиржи;1462,99;1468,35;1494,47;1459,87;51738292137;;;2;6,6109E+12;RUB;4518760150;3;
SNDX;IMOEX;30.01.2014;Индекс МосБиржи;Индекс МосБиржи;1463,2;1463,05;1473,45;1444,39;52406677076;;;2;6,61187E+12;RUB;4518760150;3;
SNDX;IMOEX;31.01.2014;Индекс МосБиржи;Индекс МосБиржи;1454,45;1463,6;1470,6;1448,36;42264412210;;;2;6,57229E+12;RUB;4518760150;3;
SNDX;IMOEX;03.02.2014;Индекс МосБиржи;Индекс МосБиржи;1442,84;1453,55;1463,54;1442,06;32778141805;;;2;6,51983E+12;RUB;4518760150;3;
SNDX;IMOEX;04.02.2014;Индекс МосБиржи;Индекс МосБиржи;1441,16;1442,52;1442,62;1426,29;35953638357;;;2;6,51227E+12;RUB;4518760150;3;
SNDX;IMOEX;05.02.2014;Индекс МосБиржи;Индекс МосБиржи;1456;1442,02;1460,75;1437,54;32228865284;;;2;6,57933E+12;RUB;4518760150;3;
SNDX;IMOEX;06.02.2014;Индекс МосБиржи;Индекс МосБиржи;1466,7;1456;1469,18;1454,43;28543620476;;;2;6,62764E+12;RUB;4518760150;3;
SNDX;IMOEX;07.02.2014;Индекс МосБиржи;Индекс МосБиржи;1478,48;1465,18;1480,6;1463,96;30965604738;;;2;6,68091E+12;RUB;4518760150;3;
SNDX;IMOEX;10.02.2014;Индекс МосБиржи;Индекс МосБиржи;1476,28;1478,22;1485,32;1475,63;23411705634;;;2;6,67096E+12;RUB;4518760150;3;
SNDX;IMOEX;11.02.2014;Индекс МосБиржи;Индекс МосБиржи;1483,57;1475,83;1488,95;1473,3;26102602445;;;2;6,70391E+12;RUB;4518760150;3;
SNDX;IMOEX;12.02.2014;Индекс МосБиржи;Индекс МосБиржи;1496,03;1484,42;1498,62;1484,42;28049253757;;;2;6,76018E+12;RUB;4518760150;3;
SNDX;IMOEX;13.02.2014;Индекс МосБиржи;Индекс МосБиржи;1478,62;1496,07;1498,08;1475,41;28254359873;;;2;6,68152E+12;RUB;4518760150;3;
SNDX;IMOEX;14.02.2014;Индекс МосБиржи;Индекс МосБиржи;1496,18;1478,77;1497,94;1478,77;30474527752;;;2;6,76086E+12;RUB;4518760150;3;
SNDX;IMOEX;17.02.2014;Индекс МосБиржи;Индекс МосБиржи;1507,49;1494,38;1515,3;1494,32;28079463718;;;2;6,81197E+12;RUB;4518760150;3;
SNDX;IMOEX;18.02.2014;Индекс МосБиржи;Индекс МосБиржи;1504,24;1507,81;1518,13;1500,39;29676093042;;;2;6,79729E+12;RUB;4518760150;3;
SNDX;IMOEX;19.02.2014;Индекс МосБиржи;Индекс МосБиржи;1485,6;1504,02;1507,97;1482,02;42334867727;;;2;6,71305E+12;RUB;4518760150;3;
SNDX;IMOEX;20.02.2014;Индекс МосБиржи;Индекс МосБиржи;1480,99;1485,48;1485,48;1467,52;33694582444;;;2;6,69223E+12;RUB;4518760150;3;
SNDX;IMOEX;21.02.2014;Индекс МосБиржи;Индекс МосБиржи;1487,64;1481,85;1492,45;1481,85;23318948666;;;2;6,7223E+12;RUB;4518760150;3;
SNDX;IMOEX;24.02.2014;Индекс МосБиржи;Индекс МосБиржи;1489,01;1487,51;1491,78;1480,03;19772900486;;;2;6,72849E+12;RUB;4518760150;3;
SNDX;IMOEX;25.02.2014;Индекс МосБиржи;Индекс МосБиржи;1478,64;1489,59;1495,13;1472,43;28414020573;;;2;6,68163E+12;RUB;4518760150;3;
SNDX;IMOEX;26.02.2014;Индекс МосБиржи;Индекс МосБиржи;1469,51;1478,9;1486,11;1465,16;35931158697;;;2;6,64038E+12;RUB;4518760150;3;
SNDX;IMOEX;27.02.2014;Индекс МосБиржи;Индекс МосБиржи;1448,7;1469,93;1476,26;1431,6;52734826934;;;2;6,54632E+12;RUB;4518760150;3;
SNDX;IMOEX;28.02.2014;Индекс МосБиржи;Индекс МосБиржи;1444,71;1448,78;1456,45;1429,25;49924435497;;;2;6,52829E+12;RUB;4518760150;3;
SNDX;IMOEX;03.03.2014;Индекс МосБиржи;Индекс МосБиржи;1288,81;1438,02;1438,02;1261,76;1,14797E+11;;;2;5,82383E+12;RUB;4518760150;3;
SNDX;IMOEX;04.03.2014;Индекс МосБиржи;Индекс МосБиржи;1356,54;1288,78;1365,23;1288,78;93980994812;;;2;6,12988E+12;RUB;4518760150;3;
SNDX;IMOEX;05.03.2014;Индекс МосБиржи;Индекс МосБиржи;1351,11;1356,27;1364,25;1330,61;51458666467;;;2;6,10533E+12;RUB;4518760150;3;
SNDX;IMOEX;06.03.2014;Индекс МосБиржи;Индекс МосБиржи;1337,98;1351,5;1370,56;1301,96;73730707234;;;2;6,04601E+12;RUB;4518760150;3;
